id,screenName,text,created,isRetweet,retweetCount,type
868574651852763100,aamontoyal,"⚡️ “VENEZUELA EXIGE CAMBIO, URGE CONCORDIA, SEGURIDAD Y PROGRESO” por @aamontoyal

https://t.co/u47rlgfjWQ",2017-05-27T21:08:28Z,FALSE,0,change
868574440728252400,zaideq,Delsa solorzano No podemos volver a nuestras casas hasta lograr el cambio anhelado.Eso es lo q yo digo Si la calle se apaga Venezuela muere,2017-05-27T21:07:38Z,FALSE,254,change
868574161840504800,agegomez,"Capriles, a 10 años del cierre de RCTV:¿Qué cambió o mejoró en Venezuela? ¡Nada! - http: // https://t.co/4zZUlejAaz  https://t.co/mHvDeZdlB8",2017-05-27T21:06:32Z,FALSE,0,change
868573023359705100,tativzla21,3:04pm #autopista #franciscofajardo #elrosal #caracas #venezuela #27may #calle #protesta #cambio #libertad… https://t.co/oRk3zl4iUN,2017-05-27T21:02:00Z,FALSE,4,change
868572993219440600,Reporte24VE,Capriles al Gobierno ¿Qué cambió o mejoró en Venezuela luego del cierre de RCTV?. https://t.co/29oVlJiDgP,2017-05-27T21:01:53Z,FALSE,1,change
868572568462274600,sitioswao,"Tú, que nos has dado todo sin esperar nada a cambio. Hoy estoy contigo #Venezuela https://t.co/b3S3wtXTKP",2017-05-27T21:00:12Z,FALSE,2,change
868572560493097e3,INVERSI0NESPM,"Ayuda a los demás, aunque sepas que no van a poder devolverte nada a cambio. #Venezuela https://t.co/sACpAWKSll",2017-05-27T21:00:10Z,FALSE,0,change
868569627479216100,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:48:31Z,FALSE,0,change
868569572902830100,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/uANJucgN3S",2017-05-27T20:48:18Z,FALSE,0,change
86856908925773e4,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:46:22Z,FALSE,0,change
868569066310692900,KAMACHITTO,"""@NDtitulares: a 10 años del cierre de RCTV: ¿Qué cambió o mejoró en Venezuela? ¡Nada! - https://t.co/zNgvTnRmPg https://t.co/zhbjJrUgg6""",2017-05-27T20:46:17Z,FALSE,0,change
868568998111309800,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/iJDobqWWLu",2017-05-27T20:46:01Z,FALSE,0,change
868568939873407e3,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:45:47Z,FALSE,0,change
868568872928129e3,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/F4FJsbvHWh",2017-05-27T20:45:31Z,FALSE,0,change
868568809959039e3,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:45:16Z,FALSE,0,change
