text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @ANDRES_CANO42: En Venezuela Ì†ºÌ∑ªÌ†ºÌ∑™  cambi√≥ el cuento ahora son los opresores Chavistas‚Äã los que huyen, la resistencia les perdi√≥ el miedo,‚Ä¶",FALSE,0,NA,2017-05-27T15:01:05Z,FALSE,NA,868482193491988480,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EnkiVzla,779,TRUE,FALSE,NA,NA
RT @AllysonPeppe: Hoy venezuela grita #YoSoyLibertador y juntos vamos a lograr el cambio pol√≠tico y urgente que necesita nuestra tierra. ht‚Ä¶,FALSE,0,NA,2017-05-27T15:00:02Z,FALSE,NA,868481932551741440,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EleinnysF,28,TRUE,FALSE,NA,NA
"RT @ANDRES_CANO42: En Venezuela Ì†ºÌ∑ªÌ†ºÌ∑™  cambi√≥ el cuento ahora son los opresores Chavistas‚Äã los que huyen, la resistencia les perdi√≥ el miedo,‚Ä¶",FALSE,0,NA,2017-05-27T14:59:56Z,FALSE,NA,868481903975948289,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",auria_vargas,779,TRUE,FALSE,NA,NA
"En Venezuela Ì†ºÌ∑ªÌ†ºÌ∑™  cambi√≥ el cuento ahora son los opresores Chavistas‚Äã los que huyen, la resistencia les perdi√≥ el mi‚Ä¶ https://t.co/Jh2dfxBDGP",FALSE,310,NA,2017-05-27T14:58:48Z,TRUE,NA,868481622110285825,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ANDRES_CANO42,779,FALSE,FALSE,NA,NA
"No me veo recibiendo publicidad de la Embajada Rusa, China o Estados Unidos a cambio de dinero. Venezuela y Cuba, Ecuador no se tocan.",FALSE,0,NA,2017-05-27T14:58:22Z,FALSE,NA,868481509740695553,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Edunotitas,0,FALSE,FALSE,NA,NA
"@liliantintori Ac√° la women show de Venezuela, YA BASTA DE BURLAS, alg√∫n negocio tienes tu con el r√©gimen a cambio‚Ä¶ https://t.co/y15BAwmVRx",FALSE,0,liliantintori,2017-05-27T14:56:39Z,TRUE,868459744884916226,868481080143343617,62917505,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carlos_italoven,1,FALSE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:53:50Z,FALSE,NA,868480370274119680,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cochiquito7,198,TRUE,FALSE,NA,NA
@mario_sabato #GiroxESPN @NairoQuinCo Saludos desde TARIBA en Venezuela queremos CAMBIO !!! Arriba NAIRO SI SE PUEDE!!!,FALSE,0,mario_sabato,2017-05-27T14:52:26Z,FALSE,NA,868480017147326465,133419610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",maxlibre,0,FALSE,FALSE,NA,NA
RT @ElPoliTwico: En la √©poca dorada que ten√≠an una FISCAL arrodillada por m√°s de 10 a√±os.... Hoy Venezuela cambio y ella tambi√©n. https://t‚Ä¶,FALSE,0,NA,2017-05-27T14:52:21Z,FALSE,NA,868479996108697600,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jorger225,115,TRUE,FALSE,NA,NA
"RT @Juliococo: Y, pido a los ciudadanos de cambio que cesen el ataque moral contra Luisa Ortega D√≠az. Venezuela cambi√≥ en 2 meses, estamos‚Ä¶",FALSE,0,NA,2017-05-27T14:48:39Z,FALSE,NA,868479067250712577,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",niliamrr,528,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:46:32Z,FALSE,NA,868478532388876288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carlosvilchez,198,TRUE,FALSE,NA,NA
@manriquemar14 @marceloameal @Lanataenel13 @Pontifex_es jam√°s dijo nada malo de la oposici√≥n.. s√≥lo q bajen un camb‚Ä¶ https://t.co/KwMHCpMS9y,FALSE,0,manriquemar14,2017-05-27T14:45:06Z,TRUE,868477509062594563,868478172223991810,364017240,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",juan_hashtg,0,FALSE,FALSE,NA,NA
@LVBP_Oficial Tremendo cambio para los Tigres ! Como siempre el Caracas poniendo la torta ! Gleivys Torrea jamas ju‚Ä¶ https://t.co/N1QeW15Q4m,FALSE,0,LVBP_Oficial,2017-05-27T14:44:45Z,TRUE,868474438760759297,868478085913620480,74345713,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",gus_1954,0,FALSE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:43:43Z,FALSE,NA,868477823853490176,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnaCoromotoSal1,198,TRUE,FALSE,NA,NA
RT @gus_bs: Es in√∫til la discusi√≥n LA GENTE APOYAR√Å EL CAMBIO en octubre es CAMBIEMOS O VENEZUELA  #ViernesIntratable https://t.co/5WJLnbax‚Ä¶,FALSE,0,NA,2017-05-27T14:43:35Z,FALSE,NA,868477790978535424,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NancyMPanozzo,97,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:39:47Z,FALSE,NA,868476836283650049,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",clalo07,198,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:37:23Z,FALSE,NA,868476231704096768,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DorisRo35574418,198,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:36:05Z,FALSE,NA,868475902145024001,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AnaRoblesVN,198,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:34:43Z,FALSE,NA,868475559684308993,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",melocoton00,198,TRUE,FALSE,NA,NA
3. Venezuela no es comparable a Costa Rica. Y Costa Rica no es lo que todo el mundo cree. El meollo del cambio radica en la sociedad entera.,FALSE,0,NA,2017-05-27T14:34:03Z,FALSE,NA,868475392516075521,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CherBonaventure,0,FALSE,FALSE,NA,NA
RT @VenezuelanPress: Los #VenezolanosEnMadrid marchan por un cambio en #Venezuela #28Mayo 11.30 horas desde #PlazaEspa√±a #VenezuelaSOSnow h‚Ä¶,FALSE,0,NA,2017-05-27T14:32:53Z,FALSE,NA,868475098478653440,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Patricia8419,14,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:32:12Z,FALSE,NA,868474927833329664,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JorgeSu23421441,198,TRUE,FALSE,NA,NA
Venezuela establece un nuevo sistema de cambio de divisas mediante subastas https://t.co/FshSv22mD5 https://t.co/h0nfOHhjrk,FALSE,0,NA,2017-05-27T14:32:10Z,FALSE,NA,868474917334917120,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",NuevoEconomista,0,FALSE,FALSE,NA,NA
RT @ElPoliTwico: En la √©poca dorada que ten√≠an una FISCAL arrodillada por m√°s de 10 a√±os.... Hoy Venezuela cambio y ella tambi√©n. https://t‚Ä¶,FALSE,0,NA,2017-05-27T14:31:16Z,FALSE,NA,868474692860080129,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",clalo07,115,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:31:00Z,FALSE,NA,868474623431761920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jcrigual,198,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:30:19Z,FALSE,NA,868474453298171906,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FaglayAglay,198,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:30:15Z,FALSE,NA,868474436890091521,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",negrobermudez,198,TRUE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:29:35Z,FALSE,NA,868474267436036096,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kathycm18,198,TRUE,FALSE,NA,NA
@trafficLARA Nosotros que estamos en la lucha por una Venezuela en cambio tenemos que apoyar a todas esas madres de las v√≠ctimas de la lucha,FALSE,0,trafficLARA,2017-05-27T14:27:38Z,FALSE,868473220034306048,868473777180618753,96862725,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>",Scrumich,0,FALSE,FALSE,NA,NA
RT @puzkas: .@JulioBorges pide a los integrantes de la Guardia Nacional incorporarse al inminente cambio pol√≠tico en Venezuela,FALSE,0,NA,2017-05-27T14:27:21Z,FALSE,NA,868473706095534080,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",nelsonbocaranda,198,TRUE,FALSE,NA,NA
@Visipol_MIJP La mayor√≠a de los venezolanos dicen: ¬°No A La ANConstituyente! Venezuela quiere cambio. #ConUdsEsImposible,FALSE,0,Visipol_MIJP,2017-05-27T14:26:22Z,FALSE,868471879555743745,868473458333757440,334669882,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cordoba_eloisa,0,FALSE,FALSE,NA,NA
RT @gus_bs: Es in√∫til la discusi√≥n LA GENTE APOYAR√Å EL CAMBIO en octubre es CAMBIEMOS O VENEZUELA  #ViernesIntratable https://t.co/5WJLnbax‚Ä¶,FALSE,0,NA,2017-05-27T14:24:20Z,FALSE,NA,868472946142085120,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",merdos1957,97,TRUE,FALSE,NA,NA
Quiero aprovechar el titular de la SUB 20 un equipo que esta dando todo por Venezuela. As√≠ debemos actuar los Venez‚Ä¶ https://t.co/hpp62n1Cft,FALSE,0,NA,2017-05-27T14:22:31Z,TRUE,NA,868472488732364801,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EgnierM,0,FALSE,FALSE,NA,NA
RT @ElPoliTwico: En la √©poca dorada que ten√≠an una FISCAL arrodillada por m√°s de 10 a√±os.... Hoy Venezuela cambio y ella tambi√©n. https://t‚Ä¶,FALSE,0,NA,2017-05-27T14:21:23Z,FALSE,NA,868472204677324800,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jcayalac13,115,TRUE,FALSE,NA,NA
"RT @JOVANNIMARQUEZ1: @TemplarioResisT Los jovenes son el ejempl a seguir en esta Venezuela secuestrada por la delincuencia revolucionaria,‚Ä¶",FALSE,0,NA,2017-05-27T14:21:09Z,FALSE,NA,868472145386590208,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Anacris11239072,29,TRUE,FALSE,NA,NA
"RT @chenoticiasweb: #27May ENH: Las protestas pueden producir un cambio en Venezuela, pero solo si superan la capacidad de la GNB https://t‚Ä¶",FALSE,0,NA,2017-05-27T14:19:41Z,FALSE,NA,868471776908644352,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",democracyvzla,3,TRUE,FALSE,NA,NA
"¬°Es Ahora, Venezuela! El Clamor De La Juventud Que Quiere Cambio https://t.co/G09SQnPhAD v√≠a @Revista_iF",FALSE,0,NA,2017-05-27T14:16:08Z,FALSE,NA,868470881307287552,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BrujildaLucifer,0,FALSE,FALSE,NA,NA
RT @WAHOMAR56: Asi se lucha por la vida y la libertad en las calles de Venezuela. No estan solos! En cambio el FA si que lo esta mas cada d‚Ä¶,FALSE,0,NA,2017-05-27T14:12:33Z,FALSE,NA,868469980928626692,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vzlaEnLasCalles,2,TRUE,FALSE,NA,NA
"@Calopezleal @freddyspaz Venezuela necesita un cambio profundo y urgente. Queremos progreso, paz y pol√≠ticos con valores y √©tica.",FALSE,0,Calopezleal,2017-05-27T14:08:43Z,FALSE,868445148836974593,868469016133849090,1378185187,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiranghMiranda,1,FALSE,FALSE,NA,NA
RT @infomerida_ve: #EEUU ¬°La voluntad de cambio en Venezuela es irreversible! https://t.co/dDWE4g07Nf,FALSE,0,NA,2017-05-27T14:08:16Z,FALSE,NA,868468904234020864,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MataAlexis,3,TRUE,FALSE,NA,NA
RT @WAHOMAR56: Asi se lucha por la vida y la libertad en las calles de Venezuela. No estan solos! En cambio el FA si que lo esta mas cada d‚Ä¶,FALSE,0,NA,2017-05-27T14:08:15Z,FALSE,NA,868468897917349889,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RomeroPiriz,2,TRUE,FALSE,NA,NA
RT @ElPoliTwico: En la √©poca dorada que ten√≠an una FISCAL arrodillada por m√°s de 10 a√±os.... Hoy Venezuela cambio y ella tambi√©n. https://t‚Ä¶,FALSE,0,NA,2017-05-27T14:07:36Z,FALSE,NA,868468736067596289,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",LarryNuke,115,TRUE,FALSE,NA,NA
RT @edgarramirez25: la voluntad de cambio en #Venezuela es #irreversible Ì†ºÌ∑ªÌ†ºÌ∑™,FALSE,0,NA,2017-05-27T14:04:21Z,FALSE,NA,868467915242303488,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hildemargonzale,4568,TRUE,FALSE,NA,NA
"@sincepto Algo jam√°s visto en la venezuela que yo creci, necesitamos un cambio urgente y radical para volver a lo q‚Ä¶ https://t.co/O6tY26o8Pd",FALSE,0,sincepto,2017-05-27T14:03:49Z,TRUE,868307265216020480,868467781062332416,87020061,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",belmont19,0,FALSE,FALSE,NA,NA
RT @ElPoliTwico: En la √©poca dorada que ten√≠an una FISCAL arrodillada por m√°s de 10 a√±os.... Hoy Venezuela cambio y ella tambi√©n. https://t‚Ä¶,FALSE,0,NA,2017-05-27T14:01:28Z,FALSE,NA,868467193293549569,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jimenez_elsi,115,TRUE,FALSE,NA,NA
